path,subtype,y,S1,S2,S3
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s19vHR_3f15.png,cut,1,18.12212,0.000044,0.49764
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s15v5f110.png,cut,1,30.77137,0.000047,0.61862
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s10v6f185.png,cut,1,-2.57495,-0.000000,0.26670
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s4v6f11.png,cut,1,16.07328,-0.000057,0.56103
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s20v6f119.png,cut,1,35.71806,0.000002,0.72586
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s15v6f195.png,cut,1,17.93458,0.000037,0.51956
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s1v6f48.png,cut,1,6.63633,0.000111,0.30350
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s1vHR_3f9.png,cut,1,5.65737,0.000051,0.37488
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s11v5f86.png,cut,1,-0.95766,-0.000080,0.26934
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3v6f51.png,cut,1,22.82590,0.000017,0.50609
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s14v5f27.png,cut,1,14.69953,-0.000040,0.62543
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13v6f0.png,cut,1,15.02666,-0.000102,0.52496
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s14v6f118.png,cut,1,27.73149,-0.000023,0.72377
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s17v6f88.png,cut,1,17.66104,-0.000031,0.65742
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s15v5f0.png,cut,1,33.03302,0.000028,0.65049
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s9v5f63.png,cut,1,18.99622,0.000118,0.50631
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s20v6f53.png,cut,1,29.93741,-0.000012,0.68118
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3v6f170.png,cut,1,20.90171,-0.000035,0.50307
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s12v6f173.png,cut,1,23.07482,-0.000060,0.61865
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13v5f62.png,cut,1,6.61325,-0.000019,0.46218
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s4v6f87.png,cut,1,19.45999,-0.000061,0.56665
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s9v5f144.png,cut,1,6.07795,0.000105,0.41800
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s4vHR_3f5.png,cut,1,10.58882,-0.000026,0.45586
/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s7v6f183.png,cut,1,17.38263,0.000002,0.51402
