rank,S1,subtype,y,path
1,-15.9313,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_3f134.png
2,-15.4877,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_3f135.png
3,-13.9537,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_3f4.png
4,-13.7302,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_3f117.png
5,-13.1397,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_3f109.png
6,-12.9417,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f214.png
7,-12.6766,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f12.png
8,-12.3545,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_3f9.png
9,-12.2575,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f14.png
10,-12.0553,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f20.png
11,-11.8847,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f17.png
12,-11.8097,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f10.png
13,-11.7497,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_3f10.png
14,-11.6641,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f18.png
15,-11.3544,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s11vHR_3f105.png
16,-11.2604,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_3f38.png
17,-11.1898,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f4.png
18,-11.0465,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f174.png
19,-11.0426,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f21.png
20,-11.0091,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s3vHR_2f135.png
21,-10.9117,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f177.png
22,-10.8112,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s11vHR_3f106.png
23,-10.8091,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f141.png
24,-10.6771,warped,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s5vHR_2f176.png
25,-10.6379,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_3f14.png
26,-10.6253,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s13vHR_3f39.png
27,-10.5064,cut,1,/mnt/d1/data/CASIA-FASD/casia-fasd/train/spoof/s11vHR_3f125.png
