rank,S1,subtype,y,path
1,-19.6315,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame010.jpg
2,-19.1384,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame009.jpg
3,-19.1058,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame000.jpg
4,-18.9077,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame008.jpg
5,-18.8194,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame003.jpg
6,-18.7528,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame001.jpg
7,-18.5982,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame011.jpg
8,-18.4930,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame003.jpg
9,-18.0723,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame006.jpg
10,-18.0392,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame004.jpg
11,-18.0293,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame002.jpg
12,-17.9764,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame002.jpg
13,-17.8607,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame005.jpg
14,-17.6724,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame007.jpg
15,-17.6363,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame000.jpg
16,-17.6032,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame005.jpg
17,-17.5798,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame001.jpg
18,-17.5685,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7385207b/frame007.jpg
19,-17.3071,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame005.jpg
20,-17.2912,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame004.jpg
21,-17.2405,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame011.jpg
22,-17.1217,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame010.jpg
23,-17.1124,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame003.jpg
24,-16.9446,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame006.jpg
25,-16.9195,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame007.jpg
26,-16.9034,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame004.jpg
27,-16.7132,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame008.jpg
28,-16.6963,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame002.jpg
29,-16.5981,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame010.jpg
30,-16.5486,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame009.jpg
31,-16.0472,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame001.jpg
32,-16.0091,Papermask,1,/mnt/d1/data/HQ-WMCA/frames/Papermask/1_03_0012_0071_07_00_004-7979aaf8/frame009.jpg
33,-15.9555,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame006.jpg
34,-15.8743,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0102_0005_06_01_008-05c0ec67/frame000.jpg
35,-15.8067,Flexiblemask,1,/mnt/d1/data/HQ-WMCA/frames/Flexiblemask/1_03_0104_0073_06_01_010-bbaf041d/frame008.jpg
