dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s0,1,12000,24000,0.9246,0.1556,0.2307,0.0804,0.8568,0.0828,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s1,1,12000,24000,0.8474,0.2211,0.2901,0.1520,0.7903,0.1552,0.0060,0.9982
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s2,1,12000,24000,0.8730,0.1903,0.2602,0.1203,0.8212,0.1127,0.0003,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s3,1,12000,24000,0.9307,0.1565,0.2205,0.0926,0.8540,0.0922,0.0019,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s0,2,12000,24000,0.9504,0.1187,0.1493,0.0881,0.8863,0.0419,0.0077,0.9972
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s1,2,12000,24000,0.9692,0.1055,0.1677,0.0432,0.9048,0.0254,0.0040,0.9983
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s2,2,12000,24000,0.9569,0.1053,0.1694,0.0411,0.9052,0.0347,0.0076,0.9978
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s3,2,12000,24000,0.9642,0.1136,0.1857,0.0415,0.8982,0.0326,0.0062,0.9985
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s0,3,12000,24000,0.9728,0.0869,0.1374,0.0364,0.9214,0.0275,0.0040,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s1,3,12000,24000,0.9804,0.0907,0.1466,0.0347,0.9185,0.0228,0.0085,0.9971
